event_id,began,ended,country,latitude,longitude,dead,displaced,main_cause,severity,magnitude
3700.000000,20100806,20100808,India,33.53,76.12,150.000000,180.000000,Torrential Rain,11.500000,6.699187
3697.000000,20100727,20100803,Afghanistan,35.21,68.86,65.000000,180.000000,Torrential Rain,1.000000,6.150572
3696.000000,20100727,20100811,Pakistan,33.36,73.26,1600.000000,14000000.000000,Monsoonal Rain,2.000000,6.618090
3690.000000,20100725,20100725,Nepal,28.35,84.78,12.000000,0.000000,Heavy Rain,1.000000,5.122544
3682.000000,20100712,20100714,India,25.59,86.2,0.000000,5000.000000,Monsoonal Rain,1.000000,5.762003
3679.000000,20100701,20100713,Bangladesh,24.0,90.03,0.000000,600000.000000,Monsoonal Rain,1.000000,5.511710
3674.000000,20100705,20100715,India,30.19,74.78,98.000000,523000.000000,Monsoonal Rain,1.000000,6.209890
3666.000000,20100622,20100624,Pakistan,36.03,72.08,46.000000,0.000000,Torrential Rain,1.000000,4.446817
3662.000000,20100615,20100626,Myanmar,22.28,94.01,60.000000,0.000000,Monsoonal Rain,1.000000,6.056310
3652.000000,20100518,20100524,India,15.22,79.48,27.000000,50000.000000,,1.000000,5.645609
3650.000000,20100515,20100626,India,26.63,93.12,0.000000,10000.000000,Monsoonal Rain,1.500000,6.186319
3649.000000,20100508,20100523,Sri Lanka,6.83,80.59,20.000000,75000.000000,Heavy Rain,1.000000,5.487647
3647.000000,20100508,20100523,Pakistan,35.59,73.38,0.000000,0.000000,Heavy Rain,1.000000,5.030648
3636.000000,20100418,20100421,India,26.31,91.86,0.000000,300.000000,Heavy Rain,2.000000,5.032458
3633.000000,20100327,20100407,Bangladesh,22.15,89.5,104.000000,0.000000,Heavy Rain,1.000000,4.928170
3626.000000,20100324,20100326,India,27.25,94.61,0.000000,0.000000,Monsoon Rain,1.000000,6.483587
3582.000000,20091214,20091216,Sri Lanka,8.02,81.27,0.000000,300000.000000,Torrential Rain,1.000000,4.671636
3576.000000,20091121,20091122,Sri Lanka,7.07,79.94,0.000000,60000.000000,Torrential Rain,1.000000,3.264771
3566.000000,20091103,20091108,India,11.47,77.85,70.000000,0.000000,Torrential Rain,1.500000,5.507276
3553.000000,20091004,20091012,Nepal,29.81,80.76,45.000000,0.000000,Heavy Rain,2.000000,6.368212
3551.000000,20090925,20091012,India,15.71,78.23,303.000000,0.000000,Heavy Rain,2.000000,7.047244
3539.000000,20090906,20090910,India,25.53,88.06,0.000000,37000.000000,Dam release,2.000000,5.406540
3532.000000,20090816,20090822,Nepal,27.01,88.13,7.000000,6265.000000,Heavy Rain,1.000000,4.982452
3530.000000,20090818,20090827,India,26.82,94.14,0.000000,300000.000000,Monsoon Rain,1.000000,5.858778
3529.000000,20090815,20090827,India,27.63,80.75,14.000000,1000000.000000,Dam release and Heavy  Rain,1.000000,6.360271
3528.000000,20090815,20090816,Sri Lanka,8.38,80.63,0.000000,0.000000,Torrential Rain,1.000000,3.977175
3526.000000,20090815,20090817,Pakistan,33.92,72.25,27.000000,1200.000000,Torrential Rain,1.500000,5.138366
3519.000000,20090801,20090804,India,26.5,85.5,0.000000,3000.000000,Levee failure,1.500000,5.104487
3516.000000,20090726,20090728,Nepal,28.0,85.71,22.000000,0.000000,Monsoon Rains,1.000000,4.749659
3504.000000,20090711,20090717,India,15.31,74.73,0.000000,0.000000,Heavy Rain,1.000000,5.648692
3500.000000,20090712,20090721,India,20.22,84.77,33.000000,0.000000,Heavy Rain,1.000000,5.999479
3496.000000,20090701,20090708,India,27.48,93.82,0.000000,500000.000000,Heavy Rain,1.000000,6.013680
3495.000000,20090703,20090706,Bangladesh,25.26,89.09,6.000000,0.000000,Torrential Rain,1.000000,5.292522
3485.000000,20090525,20090526,Bangladesh,22.16,89.09,115.000000,20000.000000,Tropical Storm,1.500000,4.921478
3413.000000,20081122,20081204,Sri Lanka,8.57,80.8,61.000000,171000.000000,Tropical Cyclone,2.000000,6.429494
3383.000000,20080922,20080929,Nepal,30.52,78.94,49.000000,13000.000000,Monsoonal Rain,2.000000,6.429688
3382.000000,20080922,20080929,India,20.95,84.41,2400.000000,0.000000,Dam release and Heavy  Rain,2.000000,6.870919
3372.000000,20080830,20080908,India,27.044,94.55,900.000000,1000000.000000,Monsoon Rains,1.500000,6.082372
3371.000000,20080830,20080908,Bangladesh,21.02,90.21,0.000000,600000.000000,Monsoon Rains,1.500000,5.948780
3365.000000,20080818,20080924,Nepal,26.951,84.923,400.000000,10000000.000000,Heavy monsoon rains,2.000000,7.094862
3359.000000,20080809,20080820,Pakistan,30.74,72.63,37.000000,90752.000000,Heavy monsoon rains,1.500000,6.475119
3356.000000,20080805,20080811,India,16.65,81.38,74.000000,0.000000,Heavy monsoon rains,1.500000,5.899079
3347.000000,20080802,20080804,Pakistan,33.92,71.7,35.000000,200000.000000,Torrential rain,2.000000,6.812780
3338.000000,20080720,20080808,India,27.5,89.79,142.000000,225000.000000,monsoonal rainfall,2.000000,7.055072
3327.000000,20080705,20080714,India,25.241,90.12,350.000000,70000.000000,Monsoon Rain,1.500000,6.806010
3322.000000,20080620,20080622,Bangladesh,25.216,90.116,0.000000,15000.000000,"Levee failure, early monsoonal rains",1.000000,5.236109
3319.000000,20080611,20080703,India,25.183,91.542,65.000000,500000.000000,,1.500000,7.082631
3314.000000,20080529,20080605,Sri Lanka,7.18,80.77,23.000000,400000.000000,Monsoonal rain,1.500000,5.688455
