sid,name,time,latitude,longitude,wind_kt,pressure_hpa,dist2land_km
1980284N09092,UNNAMED,1980-10-10 06:00:00,8.8,92.3,25,,480
1980284N09092,UNNAMED,1980-10-10 09:00:00,8.8,92.6,25,,459
1980284N09092,UNNAMED,1980-10-10 12:00:00,8.9,92.8,25,,454
1980284N09092,UNNAMED,1980-10-10 15:00:00,9.0,93.0,25,,451
1980284N09092,UNNAMED,1980-10-10 18:00:00,9.1,93.2,25,,449
1980284N09092,UNNAMED,1980-10-10 21:00:00,9.3,93.4,23,,459
1980284N09092,UNNAMED,1980-10-11 00:00:00,9.4,93.5,20,,465
1980284N09092,UNNAMED,1980-10-11 03:00:00,9.5,93.5,20,,475
1980284N09092,UNNAMED,1980-10-11 06:00:00,9.6,93.3,20,,494
1980284N09092,UNNAMED,1980-10-11 09:00:00,9.7,93.1,23,,514
1980284N09092,UNNAMED,1980-10-11 12:00:00,9.7,92.9,25,,524
1980284N09092,UNNAMED,1980-10-11 15:00:00,9.7,92.7,25,,535
1980284N09092,UNNAMED,1980-10-11 18:00:00,9.7,92.5,25,,547
1980284N09092,UNNAMED,1980-10-11 21:00:00,9.7,92.3,25,,559
1980284N09092,UNNAMED,1980-10-12 00:00:00,9.8,92.1,25,,581
1980284N09092,UNNAMED,1980-10-12 03:00:00,9.9,91.9,25,,603
1980284N09092,UNNAMED,1980-10-12 06:00:00,10.1,91.8,25,,628
1980284N09092,UNNAMED,1980-10-12 09:00:00,10.4,91.7,25,,661
1980284N09092,UNNAMED,1980-10-12 12:00:00,10.7,91.7,25,,641
1980284N09092,UNNAMED,1980-10-12 15:00:00,10.9,91.8,25,,616
1980284N09092,UNNAMED,1980-10-12 18:00:00,11.0,92.0,25,,596
1980284N09092,UNNAMED,1980-10-12 21:00:00,11.1,92.2,25,,577
1980284N09092,UNNAMED,1980-10-13 00:00:00,11.2,92.4,25,,558
1980284N09092,UNNAMED,1980-10-13 03:00:00,11.3,92.7,25,,536
1980284N09092,UNNAMED,1980-10-13 06:00:00,11.3,93.0,25,,526
1980284N09092,UNNAMED,1980-10-13 09:00:00,11.4,93.3,25,,506
1980284N09092,UNNAMED,1980-10-13 12:00:00,11.4,93.5,25,,502
1980284N09092,UNNAMED,1980-10-13 15:00:00,11.3,93.7,25,,509
1980284N09092,UNNAMED,1980-10-13 18:00:00,11.1,93.9,25,,505
1980284N09092,UNNAMED,1980-10-13 21:00:00,11.0,94.0,25,,493
1980284N09092,UNNAMED,1980-10-14 00:00:00,10.9,94.0,25,,493
1980284N09092,UNNAMED,1980-10-14 03:00:00,10.7,94.0,25,,492
1980284N09092,UNNAMED,1980-10-14 06:00:00,10.6,93.9,25,,503
1980284N09092,UNNAMED,1980-10-14 09:00:00,10.5,93.8,25,,514
1980284N09092,UNNAMED,1980-10-14 12:00:00,10.4,93.6,25,,536
1980284N09092,UNNAMED,1980-10-14 15:00:00,10.2,93.2,25,,560
1980284N09092,UNNAMED,1980-10-14 18:00:00,10.1,92.7,25,,574
1980284N09092,UNNAMED,1980-10-14 21:00:00,10.0,92.1,25,,599
1980284N09092,UNNAMED,1980-10-15 00:00:00,9.9,91.5,25,,631
1980284N09092,UNNAMED,1980-10-15 03:00:00,9.8,90.9,25,,668
1980284N09092,UNNAMED,1980-10-15 06:00:00,9.8,90.2,25,,724
