sustained_wind_kmh,pressure_hpa,distance_to_coast_km,historical_cyclone_density,cyclone_season,label
46.3,1001.6,480.0,0.0,1,0
46.3,1001.6,524.0,0.0,1,0
46.3,1001.6,581.0,0.0,1,0
46.3,1001.6,558.0,0.0,1,0
46.3,1001.6,493.0,0.0,1,0
51.9,999.8,582.0,0.0,1,0
64.8,995.4,247.0,0.0,1,1
64.8,995.4,71.0,0.0,1,1
46.3,1001.6,33.0,0.0,1,0
46.3,1001.6,375.0,0.0,1,0
46.3,1001.6,672.0,0.0,1,0
46.3,1001.6,176.0,0.0,1,0
46.3,1001.6,269.0,0.0,1,0
51.9,999.8,452.0,0.0,1,0
55.6,998.5,461.0,0.0,1,0
61.1,996.7,637.0,0.0,1,0
64.8,995.4,655.0,0.0,1,1
64.8,995.4,461.0,0.0,1,1
37.0,1004.8,148.0,0.0,1,0
46.3,1001.6,612.0,0.0,1,0
46.3,1001.6,555.0,0.0,1,0
46.3,1001.6,514.0,0.0,1,0
55.6,998.5,719.0,0.0,1,0
64.8,995.4,462.0,0.0,1,1
64.8,995.4,86.0,1.0,1,1
27.8,1007.9,640.0,0.0,1,0
37.0,1004.0,205.0,0.0,1,0
51.9,999.8,88.0,0.0,1,0
79.6,990.5,243.0,0.0,1,1
83.3,994.0,169.0,0.99,1,1
46.3,1001.6,0.0,1.922,1,0
61.1,996.7,0.0,0.0,1,0
98.2,984.3,161.0,0.0,1,1
111.1,979.9,287.0,0.954,1,1
111.1,979.9,490.0,0.0,1,1
98.2,984.3,668.0,0.949,1,1
111.1,979.9,605.0,1.892,1,1
111.1,979.9,335.0,0.0,1,1
64.8,995.4,0.0,0.0,1,1
79.6,990.5,522.0,0.0,1,1
116.7,978.1,430.0,0.0,1,1
138.9,970.6,358.0,0.0,1,2
120.4,976.8,199.0,0.0,1,2
46.3,1001.6,610.0,0.0,1,0
61.1,996.7,706.0,0.0,1,0
79.6,990.5,535.0,0.0,1,1
125.9,975.0,380.0,0.0,1,2
138.9,970.6,331.0,0.859,1,2
111.1,979.9,119.0,0.0,1,1
51.9,999.8,194.0,0.0,1,0
70.4,993.6,123.0,0.0,1,1
129.6,973.7,230.0,0.642,1,2
203.7,948.9,396.0,0.641,1,2
222.2,942.7,222.0,0.0,1,2
101.9,983.0,0.0,0.0,1,1
79.6,990.5,630.0,0.612,1,1
101.9,990.0,442.0,1.222,1,1
83.3,986.0,419.0,1.22,1,1
79.6,978.0,268.0,0.0,1,1
101.9,960.0,139.0,1.215,1,1
74.1,970.0,0.0,0.0,1,1
46.3,990.0,0.0,0.0,1,0
46.3,1001.6,0.0,0.0,1,0
46.3,1001.6,0.0,0.0,1,0
46.3,1001.6,137.0,0.0,0,0
46.3,1001.6,157.0,0.0,0,0
55.6,998.5,200.0,1.696,0,0
55.6,998.5,138.0,0.565,0,0
37.0,1004.8,0.0,0.0,0,0
46.3,1001.6,0.0,0.0,0,0
46.3,1001.6,0.0,0.0,0,0
46.3,1001.6,0.0,0.0,0,0
46.3,1001.6,174.0,0.544,0,0
46.3,1001.6,70.0,0.0,0,0
46.3,1001.6,0.0,0.539,0,0
46.3,1001.6,0.0,0.0,0,0
46.3,1001.6,238.0,1.065,0,0
46.3,1001.6,70.0,0.0,0,0
46.3,1001.6,0.0,0.531,0,0
46.3,1001.6,0.0,0.53,0,0
46.3,1001.6,0.0,0.0,0,0
37.0,1004.8,0.0,0.0,0,0
37.0,1004.8,0.0,0.0,0,0
46.3,1001.6,352.0,1.045,0,0
46.3,1001.6,0.0,0.522,0,0
55.6,998.5,38.0,0.0,0,0
55.6,998.5,436.0,0.507,1,0
46.3,1001.6,512.0,0.0,1,0
51.9,999.8,426.0,0.498,1,0
70.4,993.6,490.0,0.995,1,1
88.9,987.4,154.0,0.497,1,1
92.6,986.1,105.0,0.993,1,1
