rainfall_mm_72h,river_discharge_m3s,elevation_m,historical_flood_density,monsoon_month,label,year,grid_cell
29.7,5.03,3913.0,0.0,1,2,2010,33_76
2.1,2.95,3498.0,0.0,1,1,2010,35_68
12.6,0.31,499.0,0.0,1,2,2010,33_73
47.1,5.47,4562.0,0.0,1,1,2010,28_84
124.4,4.57,45.0,0.0,1,1,2010,25_86
71.9,28.85,10.0,0.0,1,1,2010,24_90
15.4,1.86,203.0,0.0,1,1,2010,30_74
0.0,0.33,3629.0,0.0,1,1,2010,36_72
104.9,0.12,332.0,0.0,1,1,2010,22_94
0.9,0.0,140.0,0.0,0,1,2010,15_79
112.0,129.02,74.0,0.0,0,2,2010,26_93
58.6,11.59,1367.0,1.5,0,1,2010,6_80
14.4,0.53,4235.0,0.0,0,1,2010,35_73
89.4,10.19,49.0,0.0,0,2,2010,26_91
0.0,0.0,0.0,0.5,0,1,2010,22_89
36.7,5259.17,94.0,0.5,0,1,2010,27_94
34.6,1.89,36.0,0.5,0,1,2009,8_81
37.2,56.15,22.0,0.5,0,1,2009,7_79
0.3,0.02,288.0,0.0,0,2,2009,11_77
17.6,1.95,2490.0,0.0,0,2,2009,29_80
4.6,0.9,318.0,0.0,1,2,2009,15_78
29.8,11.33,25.0,0.0,1,2,2009,25_88
127.5,16.78,1733.0,0.0,1,1,2009,27_88
21.3,8.98,86.0,1.0,1,1,2009,26_94
80.0,1.92,142.0,0.0,1,1,2009,27_80
26.6,0.05,109.0,0.5,1,1,2009,8_80
3.2,6590.74,275.0,0.0,1,2,2009,33_72
32.3,8.86,64.0,0.0,1,2,2009,26_85
48.6,37.28,3111.0,0.0,1,1,2009,28_85
65.8,4.2,534.0,0.0,1,1,2009,15_74
57.0,0.02,215.0,0.0,1,1,2009,20_84
89.6,24.64,1892.0,0.0,1,1,2009,27_93
127.8,8.38,22.0,0.0,1,1,2009,25_89
113.0,1.0,0.0,0.5,0,2,2009,22_89
44.1,1.89,97.0,0.5,0,2,2008,8_80
78.9,2.61,2914.0,0.0,1,2,2008,30_78
16.1,15.29,146.0,0.0,1,2,2008,20_84
106.4,5.58,89.0,1.0,1,2,2008,27_94
41.2,10.27,80.0,0.0,1,2,2008,26_84
11.8,0.17,156.0,0.0,1,2,2008,30_72
71.9,4.35,6.0,0.0,1,2,2008,16_81
18.1,0.39,356.0,0.5,1,2,2008,33_71
56.4,11.59,2158.0,0.0,1,2,2008,27_89
45.9,9.05,58.0,0.5,1,2,2008,25_90
63.0,8.23,30.0,0.5,1,1,2008,25_90
79.1,3.25,83.0,0.0,1,2,2008,25_91
5.5,28.85,672.0,0.5,0,2,2008,7_80
64.2,35.06,611.0,1.0,0,1,2008,26_93
196.4,17.66,8.0,0.5,0,2,2008,16_95
80.2,43.26,32.0,1.0,0,1,2008,6_80
73.6,32.42,87.0,0.0,0,1,2008,10_78
84.1,42.55,164.0,0.0,0,1,2008,7_80
41.8,15.37,15.0,0.5,0,1,2008,6_81
50.3,2.77,56.0,0.5,0,1,2007,7_81
82.0,14.28,6.0,0.0,0,1,2007,22_90
23.7,48.66,78.0,0.0,0,1,2007,12_79
39.4,1.31,782.0,0.0,0,2,2007,24_93
77.1,61.81,14.0,0.0,1,1,2007,20_86
61.8,17.62,57.0,0.0,1,1,2007,15_79
27.6,2.4,10.0,0.0,1,1,2007,16_95
7.8,486.53,1698.0,0.0,1,1,2007,35_74
91.5,0.2,329.0,0.0,1,1,2007,31_76
11.1,0.0,22.0,0.0,1,1,2007,26_68
97.3,69.96,67.0,0.5,1,1,2007,22_70
15.7,4763.31,8.0,0.0,1,1,2007,20_86
124.7,5.05,1124.0,0.0,1,1,2007,27_84
201.7,3.41,21.0,0.0,1,1,2007,23_91
56.6,10.32,13.0,0.5,1,1,2007,10_76
44.7,5469.16,116.0,0.0,1,1,2007,27_95
79.3,101.09,53.0,1.0,1,1,2007,18_95
51.7,7.07,10.0,0.0,1,2,2007,22_88
89.6,0.0,0.0,0.0,1,1,2007,22_72
122.8,0.44,308.0,0.0,1,1,2007,21_77
157.8,9.57,628.0,0.0,1,1,2007,20_81
38.4,1.72,350.0,0.5,1,1,2007,34_71
24.1,2.44,3385.0,0.0,1,1,2007,35_71
63.5,0.03,406.0,0.0,1,1,2007,14_78
156.7,10.61,120.0,1.0,1,1,2007,26_94
8.2,0.16,2138.0,0.0,1,1,2007,34_72
81.9,0.09,163.0,0.5,1,1,2007,26_85
41.4,1.56,6.0,0.0,1,1,2007,22_91
3.1,0.56,3866.0,0.0,0,1,2007,36_70
9.8,0.0,542.0,0.5,0,1,2007,36_68
83.2,24.29,25.0,0.5,0,1,2007,16_96
19.9,5.15,16.0,0.5,0,1,2007,6_80
12.5,9.45,2330.0,0.0,0,1,2007,37_70
0.1,0.09,2581.0,0.0,0,1,2007,35_69
45.6,2.62,1761.0,0.0,0,1,2007,33_74
16.7,0.72,499.0,0.5,0,1,2007,6_80
129.6,47.53,57.0,0.5,0,1,2006,6_81
20.5,4.75,569.0,0.0,0,1,2006,34_70
57.3,0.92,8.0,0.0,0,1,2006,14_79
222.2,464.59,36.0,0.5,0,1,2006,7_80
31.9,2.29,147.0,0.0,1,1,2006,19_95
85.9,2.66,788.0,0.5,1,1,2006,27_85
30.3,7.61,473.0,0.0,1,1,2006,19_83
13.7,11.27,6.0,0.0,1,1,2006,23_89
3.6,0.49,322.0,0.0,1,1,2006,32_73
54.7,11.74,117.0,0.0,1,1,2006,27_81
154.6,1131.4,370.0,0.0,1,2,2006,28_81
17.6,2.22,126.0,0.0,1,1,2006,18_81
9.7,0.16,3224.0,0.0,1,1,2006,34_69
73.6,33.67,630.0,0.0,1,2,2006,20_73
28.8,3.59,1965.0,0.0,1,1,2006,34_73
105.5,48.55,90.0,1.0,1,1,2006,18_95
7.6,1.33,2294.0,0.0,1,1,2006,35_74
0.5,0.0,1311.0,0.0,1,1,2006,33_69
11.5,0.09,162.0,0.5,1,1,2006,22_71
127.2,9.19,9.0,0.0,1,1,2006,19_72
141.1,6.6,210.0,0.0,1,1,2006,19_83
22.2,16.42,2401.0,0.0,1,1,2006,35_72
